id,title,author_info,rating,pros,cons,Categories
899,Good,"Apr 26, 2022 - Amazon Associate in Bangalore",3,Benefits and good environment overall,Targets are a lot and tough,Human_Resources
900,Best place to work with,"Apr 11, 2022 - Ast Manager in Bangalore",5,Its an amazing experience to work with Amazon. You will find employees from various of places working on same goal.,"Sometimes you need to work beyond shifts (if the work pressure is more), but you will get paid OT for the same.",Culture
901,associate,"Apr 11, 2022 - Associate in New Delhi",5,good to work and good pay,more working hours and stressful,Management
902,Great work environment,"Apr 11, 2022 - Customer Service Associate in Pune",5,"Good environment, good teams and managers",Must comfortable with night shifts,Technology
903,Dream company to work with,"Apr 11, 2022 - CSA - Customer Service Associate in Coimbatore",5,Amazon mainly focuses on the employee benefits. No targets and stress free,It is quite difficult to find cons.,Human_Resources
904,Amazon Analyst,"Apr 11, 2022 - Analyst in Bangalore",5,It's amazing work culture !!,na! !!!! !! !! !! !!,Culture
905,Great,"Apr 11, 2022 - Programmer Analyst in Bangalore",5,Good experience working in amazon,As of now can’t think of any,Culture
906,Great Place to Work,"Apr 11, 2022 - Senior Product Compliance Associate in Bangalore",5,Good Culture Flexible work hours Good benefits and compensation plan for beginners,No cons as of now,Culture
907,Steep learning curve,"Apr 11, 2022 - Software Development Engineer (SDE1) in Bangalore",5,Technically you grow a lot. Good pay,Work life balance a bit tilted towards work,Technology
908,Culture and Work,"Apr 11, 2022 - Sales Associate in Bangalore",5,"Very motivating & helpful culture, ownership is always motivated","No Cons if you keep working, just enjoy your work",Culture
909,Great Onboarding Experience,"Apr 25, 2022 - Consultant in Bangalore",4,"1. Joined as a consultant in AWS Recently , I liked the INterview process and it was very peculiar 2. Great Onboarding Experience despite being joined virtually and great support from my Manager and Onboarding Buddy 3. Great chance to work with one of the brightest minds across the world on different technologies",Nothing As of now As I have just started and everything was great for me till now,Technology
910,Great environment,"Apr 25, 2022 - Quality Manager I in Hyderābād",4,Good work culture and benefits..,Internal growth is less paid when compared to new hires,Technology
911,Best place to learn,"Apr 25, 2022 - Program Manager in Bangalore",4,High performing colleagues with Innovation mindest,Lots of dependency on other teams,Technology
912,One of the best company,"Apr 25, 2022 - Senior Associate in Hyderābād",4,Lot of IJP opportunities to grow within the organization,Salary is quite less compared to other MNCs,Technology
913,Good for data enthusiasts,"Apr 25, 2022 - Senior Research Scientist in Chennai",4,Enough challenges and opportunities in data roles,Lack of long term role clarity,Technology
914,good,"Apr 25, 2022 - Catalog Specialist I in Bangalore",4,"flexible shift hours less pressure, work life balance",not much growth in a longer run,Management
915,........................................................,"Apr 25, 2022 - AGS in Noida",4,Work from home option is there,Performance metrics are very unrealistic,Management
916,A learning and purpose driven environment,"Apr 25, 2022 - Solutions Architect in Bangalore",4,#NAME?,#NAME?,Human_Resources
917,no review,"Apr 26, 2022 - Transaction Risk Investigator (TRMS) in Hyderābād",2,no pros that i can think of,"no cons, just a job with no growth",Management
918,Awesome company,"Apr 10, 2022 - Investigator Specialist in Hyderābād",5,"Good work place , great diversity",No cons all good very nice place to work,Culture
919,new sde,"Apr 10, 2022 - Software Developer in Bangalore",5,Great people and projects to work on,On call can be stressfull,Technology
920,nice company,"Apr 10, 2022 - Anonymous Employee in Hyderābād",5,it has amazing working employueee,you can't choose your own projects,Technology
921,Great Place to work to grow your career,"Apr 24, 2022 - Team Lead in Chennai",4,Best in for new comers to E-commerce place.,Not found yet as it is just the start.,Technology
922,Nice company,"Apr 24, 2022 - Tester - QAT in Bangalore",4,Cool work culture Nice salary and hikes quarterly promotions Job security,Nothing as such. You have to have good networking skills. There are lot of forums,Culture
923,Good Place to work and Explore,"Apr 24, 2022 - Quality Assurance Technician in Chennai",4,1. Good work environment and culture 2. Welcoming Manager and Team members 3.Employee benefits 4. Customer centric 5. Hard work pays off,1. No standard working hours we have to work whenever requested but they won't ask you but they expect it,Technology
924,Amazon values its employee,"Apr 21, 2022 - Senior Seller Support Associate in Bangalore",4,Its the best place to work with. You will never feel to be just an employee. Amazon thinks about its customers and its employees.,The tools that we work on are all internal tools. The experience in handling internal tools dont work outside Amazon,Culture
925,Awesome work culture,"Apr 6, 2022 - Senior Associate Catalog in Chennai",5,Great team. Awesome Manager Will get a chance to learn new skills Good perks WFH opportunity,Work may be hectic at times but this is not the case always.,Technology
926,Wonderful Company! Ocean of Opportunities!,"Apr 9, 2022 - Associate in Chennai",5,#NAME?,#NAME?,Culture
927,Average,"Apr 23, 2022 - Senior TPM in Hyderābād",2,"Learning, fast paced, brand name, salary, good facility in hyderabad","Politics, tribal knowledge that people do not share, tough to execute with the team structure where teams work on competing priorities, stack ranking system.",Technology
928,Nothing,"Apr 23, 2022 - Software Development Engineer (SDE) in New Delhi",4,"Food, allowences, Playground, Help from seniors, etc.","CTC, Stocks, NA, NA, NA",Technology
929,my experience,"Apr 5, 2022 - Sps Associate in Bangalore",5,"Great Salary Fun training session OT, Night allowances If you are doing great work they will give you benefits great working environment very min work preassure best place to work.",Nothing. Best place to work.,Technology
930,Good company to start your career,"Apr 7, 2022 - Associate, Quality Services in Chennai",5,Good work life balance friendly seniors,nothing to say everything is good,Culture
931,Great place of work to learn as Freshers,"Apr 8, 2022 - Quality Analyst in Chennai",5,Friendly work environment Flexible diversity and inclusion lots of learning Opportunities will get to know how top handle larger scale of works,Salary compensation and bit slow growth path,Technology
932,Good,"Apr 8, 2022 - ERC Senior Associate in Khammam",5,Good Happy Enthusiastic Good place to get more learning opportunities,We have to overcome the problems and time as we go on,Technology
933,Best p Best place to work for with great environment,"Apr 8, 2022 - in Noida",5,Best worklife balance. Ample leaves and wonderful work environment,Be better than industry standards.,Culture
934,The best place to learn,"Apr 8, 2022 - Cloud Support Engineer in Bangalore",5,Latest technology exposure Great culture Permanent work from home,"Slightly longer working hours, can be improved",Technology
935,Great place to work,"Apr 8, 2022 - Quality Assurance Engineer in Bangalore",5,Work life balance is great.,Nothing as such. Blindly go for it.,Culture
936,Nothing,"Apr 8, 2022 - Transaction Risk Investigator in Ban Gawan",5,All are good at work,Nothing is bad in work,Management
937,Good,"Apr 8, 2022 - Risk Management in Hyderābād",5,Good place to work Work life balance,Nothing everything is good No cons,Management
938,good place to work,"Apr 22, 2022 - CXQO Associate in Hyderābād",4,"good work life balance, great place to work,","there is no impeovement program if any low performercers are identified, they directly dismiss them",Technology
939,Good,"Apr 22, 2022 - Senior Manager Software Engineering in Bangalore",4,Good company for people who work smart,Very high bar on execution leading to analysis paralysis,Culture
940,Average oppertunity,"Apr 22, 2022 - Customer Service Associate in Bhopal",4,"Bonus, Paid Extra time, 3 week offs Usually","low salary, frequent policy changes and no proper details are shared, Incomplete training before cross work movements",Technology
941,DE(German) Ad Success Team,"Apr 22, 2022 - Associate Account Specialist in Bangalore",4,Good work life balance. 4 thousand as travel reimbursement,Too much internal politics by managers and teammates.,Technology
942,Ok,"Apr 23, 2022 - Catalog Lead in Hyderābād",2,Allowances are pretty good here,No work life balance No fixed shift timings,Management
